age,income,loan_amount,loan_term,credit_history_length,num_credit_accounts,late_payments,num_defaults,total_debt,employment_length,home_ownership,education_level,marital_status,dependents,has_credit_card,credit_card_utilization,annual_interest_rate,prior_loan_defaults,credit_risk
56.0,37926.593085270455,44564.308619264215,84,6.0,13.0,0.0,0.0,11127.610338210703,7.0,Mortgage,Bachelor,Married,1.0,1.0,0.2931798102619143,7.953688893121068,0.0,Good
28.0,51751.00462817973,2922.259240928442,36,5.0,19.0,0.0,0.0,2676.233866140806,10.0,Mortgage,Bachelor,Married,1.0,1.0,0.5246119331166693,5.112890134544483,0.0,Good
74.0,51358.174266369504,2938.0959431436636,36,5.0,15.0,0.0,0.0,3953.5706093405834,14.0,Mortgage,Master,Married,0.0,1.0,0.19912429183270888,14.439473217506706,0.0,Bad
47.0,118283.26145398949,4443.149131920483,12,11.0,3.0,0.0,0.0,5184.631578033959,28.0,Mortgage,Bachelor,Married,1.0,1.0,0.49393892003063333,3.499793923567347,0.0,Good
47.0,23367.849151697024,7912.735466257532,36,22.0,16.0,0.0,0.0,11090.891744677469,29.0,Rent,Bachelor,Single,1.0,1.0,0.20574529342679312,9.29414695987099,0.0,Good
25.0,40929.107064241274,8166.438985211967,12,12.0,4.0,1.0,0.0,4405.907591596741,7.0,Mortgage,High School,Single,1.0,1.0,0.05617241708220252,11.786353720493059,0.0,Bad
58.0,46655.88188736926,1789.7683279024284,36,9.0,8.0,0.0,0.0,7327.879190522912,35.0,Own,Associate,Divorced,0.0,1.0,0.4081844379659768,8.61139855090547,0.0,Good
43.0,27343.672820229498,17380.21344208597,48,28.0,5.0,1.0,0.0,4558.869116555201,17.0,Mortgage,Bachelor,Divorced,0.0,1.0,0.5216699754533358,2.4833883991391312,0.0,Good
63.0,80997.12764239829,15651.515892421525,36,8.0,9.0,0.0,0.0,3964.040329997132,26.0,Rent,High School,Divorced,0.0,1.0,0.1531385423401458,12.364873969223657,0.0,Good
66.0,143521.68597978193,8526.909871113812,84,26.0,18.0,0.0,1.0,4930.070871878121,33.0,Rent,High School,Divorced,0.0,1.0,0.16986345609642878,5.163398935216766,1.0,Good
33.0,21437.816762365943,5265.672505757715,48,26.0,9.0,0.0,0.0,15130.994532833984,15.0,Own,Associate,Married,4.0,1.0,0.25693553716518147,14.260020049487427,0.0,Good
52.0,44968.80792755738,8915.390836109687,24,27.0,14.0,0.0,0.0,3436.193386250377,31.0,Mortgage,Bachelor,Married,1.0,1.0,0.16446990118113072,8.017075981814926,0.0,Good
62.0,45601.944699271575,20454.201707484342,24,14.0,13.0,1.0,1.0,2904.749706412255,38.0,Own,Bachelor,Married,2.0,1.0,0.09086452149005339,12.409773639531933,0.0,Good
72.0,36625.466220818234,21510.687972356678,36,26.0,18.0,0.0,0.0,2239.9491093340607,6.0,Mortgage,Bachelor,Married,3.0,1.0,0.06055742655543431,6.419505996932139,0.0,Good
27.0,33901.75349938916,7681.726631681814,36,26.0,17.0,0.0,0.0,1615.1310870831821,9.0,Mortgage,Bachelor,Married,0.0,1.0,0.4225343234795214,14.165970468520891,0.0,Bad
60.0,23461.605355179083,10799.41819430453,48,7.0,12.0,0.0,0.0,3652.391629395218,25.0,Own,High School,Married,3.0,0.0,0.17754738248032062,9.972309227600311,1.0,Bad
31.0,25479.02500799264,5282.648522246876,12,8.0,15.0,0.0,0.0,8105.373408408653,13.0,Mortgage,High School,Married,1.0,0.0,0.06654104976194551,14.33273917090505,0.0,Good
62.0,18114.218404312316,10504.006546846,60,6.0,9.0,3.0,0.0,31348.236249408445,1.0,Rent,High School,Single,1.0,0.0,0.8008878367174908,21.496134349788306,0.0,Bad
38.0,57775.09374264063,6425.727598714621,36,26.0,4.0,1.0,0.0,5956.882950524855,20.0,Rent,Bachelor,Single,2.0,1.0,0.09277007964178499,3.344405570989206,0.0,Good
44.0,15000.0,18827.031649835557,72,2.0,5.0,2.0,3.0,20389.97516748041,14.0,Rent,Bachelor,Widowed,0.0,1.0,0.5367910128930142,12.048574310469473,0.0,Bad
28.0,15113.185585404504,61429.60652028625,36,11.0,1.0,3.0,1.0,39878.84468110753,4.0,Rent,High School,Married,3.0,1.0,0.44939857060774946,24.871668203847843,0.0,Bad
59.0,28203.101951099565,2380.7346607343675,36,20.0,5.0,1.0,0.0,1101.6263751127988,15.0,Own,Associate,Married,0.0,1.0,0.32461728965870906,3.8243247194654555,1.0,Good
60.0,24483.259457617576,2985.3293295973767,48,6.0,15.0,0.0,0.0,6892.366515434912,20.0,Mortgage,Associate,Married,1.0,1.0,0.16294281728539084,5.3358345896786545,0.0,Good
57.0,27142.42769903098,15900.384583914072,48,1.0,6.0,2.0,1.0,17358.40377067797,11.0,Rent,Associate,Single,2.0,1.0,0.8042078302727137,19.459816961928755,0.0,Bad
58.0,49168.603960709734,11683.156592947276,24,28.0,13.0,2.0,0.0,1940.615740556939,11.0,Mortgage,Bachelor,Single,3.0,1.0,0.3411785539093018,6.911444466352227,0.0,Good
56.0,15000.0,14235.903804444457,84,6.0,1.0,4.0,2.0,5000.0,4.0,Mortgage,Master,Married,1.0,1.0,0.6227876628584913,11.541361882424143,0.0,Bad
33.0,27152.880599626358,9562.974808445239,36,13.0,19.0,0.0,1.0,1471.513920614602,15.0,Other,PhD,Married,2.0,0.0,0.243111687010813,8.03866843809659,0.0,Good
